in s,C1 in V
-5.9401728E-01,-1.82129E+00
-5.9400806E-01,-1.85059E+00
-5.9399885E-01,-1.82129E+00
-5.9398963E-01,-1.80176E+00
-5.9398042E-01,-1.83105E+00
-5.9397120E-01,-1.81152E+00
-5.9396198E-01,-1.83105E+00
-5.9395277E-01,-1.82129E+00
-5.9394355E-01,-1.83105E+00
-5.9393434E-01,-1.85059E+00
-5.9392512E-01,-1.82129E+00
-5.9391590E-01,-1.83105E+00
-5.9390669E-01,-1.85059E+00
-5.9389747E-01,-1.84082E+00
-5.9388826E-01,-1.84082E+00
-5.9387904E-01,-1.86035E+00
-5.9386982E-01,-1.83105E+00
-5.9386061E-01,-1.84082E+00
-5.9385139E-01,-1.83105E+00
-5.9384218E-01,-1.85059E+00
-5.9383296E-01,-1.85059E+00
-5.9382374E-01,-1.82129E+00
-5.9381453E-01,-1.85059E+00
-5.9380531E-01,-1.82129E+00
-5.9379610E-01,-1.84082E+00
-5.9378688E-01,-1.83105E+00
-5.9377766E-01,-1.85059E+00
-5.9376845E-01,-1.83105E+00
-5.9375923E-01,-1.83105E+00
-5.9375002E-01,-1.85059E+00
-5.9374080E-01,-1.87012E+00
-5.9373158E-01,-1.85059E+00
-5.9372237E-01,-1.83105E+00
-5.9371315E-01,-1.85059E+00
-5.9370394E-01,-1.83105E+00
-5.9369472E-01,-1.83105E+00
-5.9368550E-01,-1.86035E+00
-5.9367629E-01,-1.84082E+00
-5.9366707E-01,-1.85059E+00
-5.9365786E-01,-1.84082E+00
-5.9364864E-01,-1.85059E+00
-5.9363942E-01,-1.84082E+00
-5.9363021E-01,-1.84082E+00
-5.9362099E-01,-1.82129E+00
-5.9361178E-01,-1.86035E+00
-5.9360256E-01,-1.85059E+00
-5.9359334E-01,-1.83105E+00
-5.9358413E-01,-1.86035E+00
-5.9357491E-01,-1.85059E+00
-5.9356570E-01,-1.85059E+00
-5.9355648E-01,-1.85059E+00
-5.9354726E-01,-1.85059E+00
-5.9353805E-01,-1.85059E+00
-5.9352883E-01,-1.82129E+00
-5.9351962E-01,-1.84082E+00
-5.9351040E-01,-1.87988E+00
-5.9350118E-01,-1.85059E+00
-5.9349197E-01,-1.84082E+00
-5.9348275E-01,-1.85059E+00
-5.9347354E-01,-1.82129E+00
-5.9346432E-01,-1.84082E+00
-5.9345510E-01,-1.85059E+00
-5.9344589E-01,-1.84082E+00
-5.9343667E-01,-1.84082E+00
-5.9342746E-01,-1.84082E+00
-5.9341824E-01,-1.86035E+00
-5.9340902E-01,-1.83105E+00
-5.9339981E-01,-1.83105E+00
-5.9339059E-01,-1.86035E+00
-5.9338138E-01,-1.85059E+00
-5.9337216E-01,-1.84082E+00
-5.9336294E-01,-1.85059E+00
-5.9335373E-01,-1.85059E+00
-5.9334451E-01,-1.83105E+00
-5.9333530E-01,-1.85059E+00
-5.9332608E-01,-1.85059E+00
-5.9331686E-01,-1.83105E+00
-5.9330765E-01,-1.86035E+00
-5.9329843E-01,-1.87012E+00
-5.9328922E-01,-1.85059E+00
-5.9328000E-01,-1.85059E+00
-5.9327078E-01,-1.85059E+00
-5.9326157E-01,-1.85059E+00
-5.9325235E-01,-1.84082E+00
